x,trafficload(x),trafficload(x)_CI/2,trafficload(x)_Var,trafficload(x)_NSamples
48.0,63.03333333333333,0.9708903232483103,30.70674157303397,90
49.0,64.38888888888889,0.9388296636173443,28.712234706616584,90
50.0,65.4888888888889,0.8818248879386739,25.33133583021248,90
51.0,66.85555555555555,0.9115651620047205,27.068789013732733,90
52.0,67.84444444444445,0.9098039908002797,26.96429463171039,90
53.0,69.05555555555556,0.9694366158657851,30.61485642946346,90
54.0,70.44444444444444,0.9596922886651118,30.002496878901663,90
55.0,71.41111111111111,0.9505860795349382,29.435830212234823,90
56.0,72.5,0.9357220984425407,28.52247191011236,90
57.0,73.25,0.8725981743814739,33.247899159663866,120
58.0,75.2,0.9929326780096676,32.11685393258453,90
59.0,75.84166666666667,0.8861114594790614,34.28564425770334,120
60.0,77.75555555555556,0.9690629613901999,30.591260923845745,90
61.0,78.95555555555555,0.9910937548198974,31.99800249687893,90
62.0,79.63333333333334,0.8876168989972643,34.402240896358805,120
63.0,81.125,0.8726670929108304,33.253151260504204,120
64.0,82.20833333333333,0.8927972420021023,34.804971988795195,120
65.0,83.78888888888889,0.9951167996212554,32.258302122346656,90
66.0,84.72222222222223,0.9542558591565266,29.663545568039368,90
67.0,85.94444444444444,0.9669428586503137,30.457553058676943,90
68.0,86.875,0.8682452785092887,32.91701680672269,120
69.0,87.79166666666667,0.8782360981824525,33.678921568627125,120
70.0,89.22222222222223,0.9924385125975996,32.084893882646114,90
71.0,89.8,0.8788284683243784,33.72436974789877,120
72.0,91.025,0.9063959940221817,35.87331932773149,120
73.0,92.375,0.8773956894126449,33.614495798319325,120
74.0,94.15555555555555,0.9952612104610387,32.267665418227246,90
75.0,95.5111111111111,0.9586614395411384,29.938077403245536,90
76.0,96.55555555555556,0.9778501855070124,31.148564294632003,90
77.0,96.86666666666666,0.9172593960195261,36.738375350140316,120
78.0,98.05833333333334,0.9167058562978432,36.69404761904671,120
79.0,99.33333333333333,0.9259047692799481,37.43417366946844,120
80.0,101.32222222222222,0.9745701600055993,30.939950062422437,90
81.0,102.32222222222222,0.9990373364584486,32.512983770287605,90
82.0,103.27777777777777,0.9897413617267065,31.910736579275323,90
83.0,103.25,0.9364280243939722,38.28991596638655,120
84.0,105.5111111111111,0.9550567437724735,29.71335830212194,90
85.0,106.91111111111111,0.9787433641299121,31.205493133583136,90
86.0,106.975,0.9422082699610855,38.76407563025249,120
87.0,107.91666666666667,0.9452917148837757,39.01820728291382,120
88.0,108.75833333333334,0.9756305818999758,41.56295518207309,120
89.0,109.7,0.9781136798276626,41.774789915966,120
90.0,110.775,0.9763141660587988,41.621218487395346,120
91.0,111.5,0.9490337155785514,39.32773109243698,120
92.0,112.79166666666667,0.9441330996870824,38.9226190476197,120
93.0,113.525,0.9573042577635894,40.016176470588626,120
94.0,114.60833333333333,0.9501070241170102,39.416736694676956,120
95.0,115.98333333333333,0.9601187711165434,40.251820728290404,120
96.0,117.26666666666667,0.976958695744046,41.67619047618956,120
97.0,118.33333333333333,0.937882624224951,38.408963585434826,120
98.0,119.48333333333333,0.9700891882398035,41.09215686274418,120
99.0,120.825,0.9824450200517421,42.14558823529373,120
100.0,122.04166666666667,0.9292373707051821,37.704131652661715,120
