x,waitingCars(x),waitingCars(x)_CI/2,waitingCars(x)_Var,waitingCars(x)_NSamples,trafficload(x),trafficload(x)_CI/2,trafficload(x)_Var,trafficload(x)_NSamples
49.0,7.2,0.3940843134706264,1.6137931034482742,30,62.483333333333334,0.8800065451014616,33.81484593837541,120
50.0,8.166666666666666,0.39140870563154917,1.5919540229885083,30,63.81111111111111,0.9124476229768956,27.12122347066179,90
51.0,8.033333333333333,0.5730739838656329,3.4126436781609204,30,65.17777777777778,0.9548159468554308,29.698377028713917,90
52.0,8.233333333333333,0.5506303075841537,3.1505747126436745,30,66.15555555555555,0.9876074417526405,31.773283395755335,90
53.0,8.466666666666667,0.5070183248761055,2.671264367816093,30,67.34166666666667,0.9131721164152702,36.41169467787141,120
54.0,9.2,0.40241682717744925,1.6827586206896614,30,68.61666666666666,0.9208714987255037,37.02829131652687,120
55.0,9.533333333333333,0.32314064786921615,1.0850574712643688,30,69.48333333333333,0.8893605573232443,34.53753501400567,120
56.0,9.166666666666666,0.3558838970175055,1.3160919540229832,30,70.50833333333334,0.8889303758041804,34.50413165266133,120
57.0,9.9,0.4633598097996429,2.2310344827586146,30,71.66666666666667,0.9503171526286105,39.43417366946746,120
58.0,10.433333333333334,0.6240776172605152,4.047126436781613,30,73.16666666666667,0.9333573947249325,38.03921568627418,120
59.0,11.1,0.5664733180731032,3.3344827586206836,30,74.19166666666666,0.9967645939471181,43.383123249299786,120
60.0,11.8,0.5608805632667265,3.2689655172413854,30,75.65833333333333,0.9159077511439636,36.63018207282939,120
61.0,11.933333333333334,0.5581127184271625,3.2367816091954067,30,76.69166666666666,0.9182790282611256,36.82009803921575,120
62.0,11.533333333333333,0.48698769157374394,2.464367816091955,30,77.91666666666667,0.9560209743654539,39.908963585433845,120
63.0,12.766666666666667,0.5131983978916188,2.7367816091954067,30,79.56666666666666,0.9272340583811546,37.54173669467794,120
64.0,12.933333333333334,0.7004890695883769,5.098850574712648,30,80.575,0.9562381890577266,39.92710084033574,120
65.0,14.066666666666666,0.4382081541631426,1.9954022988505788,30,81.65833333333333,0.9161178462268823,36.64698879551847,120
66.0,14.666666666666666,0.4632404333169732,2.2298850574712747,30,82.82222222222222,0.998951019991494,32.507365792759515,90
67.0,14.7,0.43984585025588735,2.0103448275862132,30,83.89166666666667,0.8854161959196282,34.231862745098105,120
68.0,15.133333333333333,0.5004305397237675,2.602298850574698,30,85.21666666666667,0.9073977874661688,35.95266106442603,120
69.0,15.533333333333333,0.8455830486266127,7.42988505747125,30,86.4,0.9385116810694254,38.46050420168106,120
70.0,16.166666666666668,0.862485373005049,7.729885057471275,30,87.35,0.9213868547487368,37.069747899160056,120
71.0,16.466666666666665,0.8533958082089315,7.5678160919540085,30,88.55833333333334,0.9216261535247421,37.08900560224096,120
72.0,17.033333333333335,0.9125869262989584,8.654022988505764,30,89.76666666666667,0.9574592081914863,40.02913165266113,120
73.0,17.966666666666665,0.8287364184521486,7.136781609195419,30,91.1,0.9362533205474289,38.27563025210123,120
74.0,18.566666666666666,0.8912469519468065,8.254022988505751,30,92.06666666666666,0.9590658642183939,40.16358543417373,120
75.0,19.266666666666666,0.9357470938164077,9.098850574712648,30,93.26666666666667,0.9274415876979932,37.55854341736701,120
76.0,19.733333333333334,0.8502793188893975,7.512643678160924,30,94.36666666666666,0.9274830879890676,37.56190476190502,120
77.0,20.3,0.7602229011552012,12.416949152542347,60,95.33333333333333,0.9950326594400549,43.23249299719953,120
78.0,20.266666666666666,0.8771732536019685,7.995402298850579,30,96.59166666666667,0.9729639706311544,41.336064425770566,120
79.0,20.983333333333334,0.7697020450978902,12.728531073446332,60,98.32666666666667,0.9187825036402987,46.22143176733829,150
80.0,22.0,0.907177065032908,8.551724137931034,30,99.14166666666667,0.9527366119152396,39.63522408963494,120
81.0,22.766666666666666,0.8335276115853828,7.2195402298850615,30,100.24166666666666,0.994773939233305,43.2100140056025,120
82.0,23.083333333333332,0.827776774543659,14.721751412429358,60,101.3,0.9660370059728144,40.74957983193238,120
83.0,23.066666666666666,0.9214527643336122,8.82298850574713,30,102.19333333333333,0.8933771706396918,43.70062639821015,150
84.0,24.1,0.9955975813327589,10.300000000000026,30,103.35,0.9313586395441943,37.876470588235684,120
85.0,24.566666666666666,0.7613289821637428,12.453107344632711,60,104.80833333333334,0.9476732361099053,39.21505602240805,120
86.0,24.65,0.7586907418779816,12.366949152542398,60,105.775,0.9886546534274527,42.680042016807114,120
87.0,25.466666666666665,0.7889103323434092,13.371751412429395,60,106.625,0.9840891086739549,42.286764705882355,120
88.0,25.8,0.8167515705277526,14.332203389830484,60,107.86666666666666,0.9130507448884151,45.646532438478225,150
89.0,26.466666666666665,0.963010958207153,9.636781609195419,30,108.77333333333333,0.9198025114212683,46.324116331095425,150
90.0,26.7,0.9884917042874002,20.993220338983026,60,110.03333333333333,0.9248883273425236,46.83780760626346,150
91.0,27.183333333333334,0.9717432728404173,20.287853107344574,60,110.60833333333333,0.9719348797030671,41.2486694677862,120
92.0,21.883333333333333,0.9196911705969595,18.172598870056515,60,111.61666666666666,0.9711202350392496,41.179551820728555,120
93.0,23.166666666666668,0.8640464641133094,24.320224719101123,90,112.58333333333333,0.9979778112721852,43.48879551820794,120
94.0,22.75,0.9158517651752329,18.021186440677965,60,113.92666666666666,0.9139135380250143,45.73284116331113,150
95.0,25.81111111111111,0.9059985830849362,26.739200998751596,90,115.26666666666667,0.9196052648498386,46.304250559283595,150
96.0,25.622222222222224,0.9431854019695461,28.979275905118577,90,116.54666666666667,0.9382003482086176,48.19579418344523,150
97.0,24.85,0.9186040140885217,18.12966101694918,60,117.41666666666667,0.9765350782818293,41.64005602240962,120
98.0,24.58888888888889,0.819230592489984,21.862796504369573,90,118.76666666666667,0.9240928193758678,46.75727069351335,150
99.0,24.633333333333333,0.8194644632632752,21.875280898876422,90,120.06,0.9276425683854537,47.11718120805344,150
100.0,23.022222222222222,0.8363489550650981,22.786017478152317,90,121.09166666666667,0.9694963360812897,41.04194677871175,120
